CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamd:P20257,ima kolektivnog agenta akademsku ustanovu,kamd:C10002,Povezuje djelo s kolektivnim agentom koji je odobrio završni rad ili disertaciju na temelju koje se dodijeljuje akademski stupanj.,kamd:P20256,kamka:C10008,kamd:P20257
kamd:P20258,ima korporativno tijelo akademsku ustanovu,kamd:C10002,Povezuje djelo s korporativnim tijelom koje je odobrilo završni rad ili disertaciju na temelju koje se dodijeljuje akademski stupanj.,kamd:P20257,kamkt:C10009,kamkt:P90066
kamd:P20259,ima agenta člana povjerenstva za stjecanje akademskog stupnja,kamd:C10002,Povezuje djelo s agentom koji sudjeluje u povjerenstvu koje nadzire i odobrava završni rad ili disertaciju.,kamd:P20035,kama:C10006,kama:P60066
kamd:P20260,ima osobu člana povjerenstva za stjecanje akademskog stupnja,kamd:C10002,Povezuje djelo s osobom koja sudjeluje u povjerenstvu koje nadzire i odobrava završni rad ili disertaciju.,kamd:P20259,kamo:C10007,kamo:P70074
kamd:P20261,ima agenta izdavača,kamd:C10002,"Povezuje djelo s agentom koji u vlastito ime pokreće, organizira i financijski podupire izdavanje djela.",kamd:P20035,kama:C10006,kama:P60067
kamd:P20262,ima osobu izdavača,kamd:C10002,"Povezuje djelo s osobom koja u vlastito ime pokreće, organizira i financijski podupire izdavanje djela.",kamd:P20261,kamo:C10007,kamo:P70075
kamd:P20263,ima kolektivnog agenta izdavača,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji u vlastito ime pokreće, organizira i financijski podupire izdavanje djela.",kamd:P20261,kamka:C10008,kamka:P80069
kamd:P20264,ima korporativno tijelo izdavača,kamd:C10002,"Povezuje djelo s korporativnim tijelom koje u vlastito ime pokreće, organizira i financijski podupire izdavanje djela.",kamd:P20263,kamkt:C10009,kamkt:P90068
kamd:P20265,ima obitelj izdavača,kamd:C10002,"Povezuje djelo s obitelji koja u vlastito ime pokreće, organizira i financijski podupire izdavanje djela.",kamd:P20263,kamob:C10010,kamob:P10067
kamd:P20266,ima agenta mentora,kamd:C10002,Povezuje djelo s agentom koji nadzire izradu ocjenskog ili završnog rada ili disertacije u akademskoj ustanovi.,kamd:P20035,kama:C10006,kama:P60068
kamd:P20267,ima osobu mentora,kamd:C10002,Povezuje djelo s osobom koja nadzire izradu ocjenskog ili završnog rada ili disertacije u akademskoj ustanovi.,kamd:P20266,kamo:C10007,kamo:P70076
kamd:P20268,ima agenta naručitelja,kamd:C10002,"Povezuje djelo s agentom koji je naručio naručio stvaranje djela, najčešće uz naknadu.",kamd:P20035,kama:C10006,kama:P60069
