CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamn:P13057,ima napomenu o nomenu pojavnog oblika,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu pojavnog oblika koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13058,ima napomenu o identifikaciji pojavnog oblika,kamn:C10013,"Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o pojavnom obliku (identifikator pojavnog oblika, usvojeni naslov pojavnog oblika, varijantni naslov pojavnog oblika) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamn:P13057,,
kamn:P13059,ima napomenu o odnosu nomena i pojavnog oblika,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i pojavnih oblika ili više drugih pojavnih oblika.,kamn:P13057,,
kamn:P13060,je nomen povezan s primjerkom,kamn:C10013,Povezuje nomen s primjerkom.,kamn:P13010,kamp:C10005,kamp:P50117
kamn:P13061,je oznaka za primjerak,kamn:C10013,Povezuje oznaku s primjerkom.,kamn:P13060,kamp:C10005,kamp:P50118
kamn:P13062,je nadzirana pristupnica za primjerak,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira primjerak i okuplja podatke o primjerku s primjerkom.",kamn:P13061,kamp:C10005,kamp:P50119
kamn:P13063,je usvojena pristupnica za primjerak,kamn:C10013,"Povezuje usvojenu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira primjerak i okuplja podatke o primjerku s primjerkom. ",kamn:P13062,kamp:C10005,kamp:P50002
kamn:P13064,je varijantna pristupnica za primjerak,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji identificiraju primjerak unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu s primjerkom.",kamn:P13062,kamp:C10005,kamp:P50120
kamn:P13065,je identifikator primjerka,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku koja unutar određenog sustava jednoznačno identificira primjerak s primjerkom.,kamn:P13061,kamp:C10005,kamp:P50001
kamn:P13066,je dodani natpis i oznaka za primjerak,kamn:C10013,"Povezuje riječi, znakove ili skupove riječi ili znakova koji se javljaju na primjerku, a nisu dio njegova izvornog oblikovanja, proizvodnje ili objavljivanja, već su ih tijekom vremena dodali posjednici, vlasnici, korisnici i drugi agenti s primjerkom.",,,
kamn:P13067,ima napomenu o nomenu primjerka,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu primjerka koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13068,ima napomenu o identifikaciji identifikaciji,kamn:C10013,"Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o primjerku (identifikator primjerka, usvojeni naslov primjerka, varijantni naslov primjerka) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamn:P13067,,
kamn:P13069,ima napomenu o odnosu nomena i primjerka,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i primjeraka ili više drugih primjeraka.,kamn:P13067,,
kamn:P13070,je nomen povezan s agentom,kamn:C10013,Povezuje nomen s agentom.,kamn:P13010,kama:C10006,kama:P60183
kamn:P13071,je oznaka za agenta,kamn:C10013,Povezuje oznaku s agentom.,kamn:P13070,kama:C10006,kama:P60184
kamn:P13072,je nadzirana pristupnica za agenta,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira agenta i okuplja podatke o agentu s agentom.",kamn:P13071,kama:C10006,kama:P60185
kamn:P13073,je usvojena pristupnica za agenta,kamn:C10013,"Povezuje usvojenu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira agenta i okuplja podatke o agentu s agentom.",kamn:P13072,kama:C10006,kama:P60186
kamn:P13074,je varijantna pristupnica za agenta,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji identificiraju agenta unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu s agentom.",kamn:P13072,kama:C10006,kama:P60187
kamn:P13075,je dodatno obilježje agenta,kamn:C10013,"Povezuje riječ, brojku ili niz riječi, brojki ili drugih znakova, koji služi razlikovanju agenata čije je ime jednako ili slično s agentom.",,,
kamn:P13076,je identifikator agenta,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku koja unutar određenog sustava jednoznačno identificira agenta s agentom.,kamn:P13071,kama:C10006,kama:P60189
kamn:P13077,ima napomenu o nomenu agenta,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu agenta koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13078,ima napomenu o identifikaciji agenta,kamn:C10013,Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o agentu i/ili izvorima iz kojih su identifikacijski podaci preuzeti.,kamn:P13077,,
kamn:P13079,ima napomenu o odnosu nomena i agenta,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i agenta ili više drugih agenata.,kamn:P13077,,
kamn:P13080,je nomen povezan s osobom,kamn:C10013,Povezuje nomen s osobom.,kamn:P13010,kamo:C10007,kamo:P70002
kamn:P13081,je oznaka za osobu,kamn:C10013,Povezuje oznaku s osobom.,kamn:P13080,kamo:C10007,kamo:P70003
kamn:P13082,je identifikator osobe,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku ili skup znakova koji jednoznačno identificira osobu unutar određenog sustava s osobom.,kamn:P13081,kamo:C10007,kamo:P70004
kamn:P13083,je nadzirana pristupnica za osobu,kamn:C10013,Povezuje nadziranu pristupnicu za osobu s osobom.,kamn:P13081,kamo:C10007,kamo:P70005
kamn:P13084,je usvojena pristupnica za osobu,kamn:C10013,"Povezuje riječ, izraz ili skup znakova koji jednoznačno i dosljedno imenuje osobu unutar određenog sustava s osobom.",kamn:P13083,kamo:C10007,kamo:P70006
kamn:P13085,je varijantna pristupnica za osobu,kamn:C10013,"Povezuje riječ, izreku ili skup znakova koji identificiraju osobu unutar određenog sustava, a nisu odabrani za usvojeno ime osobe s osobom.",kamn:P13083,kamo:C10007,kamo:P70007
kamn:P13086,je ime osobe,kamn:C10013,Povezuje ime osobe s osobom.,kamn:P13081,kamo:C10007,kamo:P70008
kamn:P13087,je usvojeno ime osobe,kamn:C10013,"Povezuje riječ, izraz ili skup znakova koji dosljedno imenuje osobu unutar određenog sustava s osobom.",kamn:P13086,kamo:C10007,kamo:P70009
kamn:P13088,je vrsta usvojenog imena osobe,kamn:C10013,Povezuje nomen s riječi ili izrazom koji označava kategoriju kojoj pripada usvojeno ime osobe.,,,
kamn:P13089,je varijantno ime osobe,kamn:C10013,"Povezuje riječ, izreku ili skup znakova koji imenuju osobu unutar određenog sustava, a nisu odabrani za usvojeni oblik imena osobe s osobom.",kamn:P13086,kamo:C10007,kamo:P70010
kamn:P13090,je vrsta varijantnog imena osobe,kamn:C10013,Povezuje nomen s riječi ili izrazom koji označava kategoriju kojoj pripada varijantno ime osobe.,,,
kamn:P13091,je titula osobe,kamn:C10013,Povezuje oznaku položaja koji osoba zauzima unutar društvene ili vjerske zajednice s osobom.,,,
kamn:P13092,je dodatno obilježje osobe,kamn:C10013,"Povezuje riječ, izreku ili skup znakova koji razlikuje osobu od drugih osoba s istim oblikom imena s osobom.",,,
kamn:P13093,ima napomenu o nomenu osobe,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu osobe koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13094,ima napomenu o identifikaciji osobe,kamn:C10013,Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o osobi i/ili izvorima iz kojih su identifikacijski podaci preuzeti.,kamn:P13093,,
kamn:P13095,ima napomenu o odnosu nomena i osobe,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i osobe ili više drugih osoba.,kamn:P13093,,
kamn:P13096,je nomen koji je dodijelio kolektivni agent,kamn:C10013,Povezuje nomen s kolektivnim agentom koji je dodijelio taj nomen.,kamn:P13097,kamka:C10008,kamka:P80184
kamn:P13097,je nomen povezan s kolektivnim agentom,kamn:C10013,Povezuje nomen s kolektivnim agentom.,kamn:P13010,kamka:C10008,kamka:P80007
kamn:P13098,je oznaka za kolektivnog agenta,kamn:C10013,Povezuje oznaku s kolektivnim agentom.,kamn:P13097,kamka:C10008,kamka:P80185
kamn:P13099,je nadzirana pristupnica za kolektivnog agenta,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira kolektivnog agenta i okuplja podatke o kolektivnom agentu s kolektivnim agentom.",kamn:P13098,kamka:C10008,kamka:P80186
kamn:P13100,je usvojena pristupnica za kolektivnog agenta,kamn:C10013,"Povezuje usvojenu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira kolektivnog agenta i okuplja podatke o kolektivnom agentu s kolektivnim agentom.",kamn:P13099,kamka:C10008,kamka:P80187
kamn:P13101,je varijantna pristupnica za kolektivnog agenta,kamn:C10013,"Povezuje riječ ili niz riječi ili znakova koji identificiraju kolektivnog agenta unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu s koklektivnim agentom.",kamn:P13099,kamka:C10008,kamka:P80188
kamn:P13102,je dodatno obilježje kolektivnog agenta,kamn:C10013,"Povezuje riječ, brojku ili niz riječi, brojki ili drugih znakova, koji služi razlikovanju kolektivnih agenata čije je ime jednako ili slično s kolektivnim agentom.",,,
kamn:P13103,je identifikator kolektivnog agenta,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku koja unutar određenog sustava jednoznačno identificira kolektivnog agenta s kolektivnim agentom.,kamn:P13098,kamka:C10008,kamka:P80190
kamn:P13104,ima napomenu o nomenu kolektivnog agenta,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu kolektivnog agenta koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13105,ima napomenu o identifikaciji kolektivnog agenta,kamn:C10013,Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o kolektivnom agentu i/ili izvorima iz kojih su identifikacijski podaci preuzeti.,kamn:P13104,,
kamn:P13106,ima napomenu o odnosu nomena i kolektivnog agenta,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i kolektivnog agenta ili više drugih kolektivnih agenata.,kamn:P13104,,
kamn:P13107,je nomen povezan s korporativnim tijelom,kamn:C10013,Povezuje nomen s korporativnim tijelom.,kamn:P13010,kamkt:C10009,kamkt:P90210
kamn:P13108,je oznaka za korporativno tijelo,kamn:C10013,Povezuje korporativno tijelo s oznakom za to korporativno tijelo.,kamn:P13107,kamkt:C10009,kamkt:P90211
kamn:P13109,je nadzirana pristupnica za korporativno tijelo,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira korporativno tijelo i okuplja podatke o korporativnom tijelu s korporativnim tijelom.",kamn:P13108,kamkt:C10009,kamkt:P90212
