CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kampo:P40171,ima osobu ljevača,kampo:C10004,"Povezuje pojavni oblik s osobom koja je oblikovala predmet lijevanjem tekućeg metala, stakla ili drugog materijala u kalup.",kampo:P40170,kamo:C10007,kamo:P70147
kampo:P40172,ima kolektivnog agenta ljevača,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je oblikovao predmet lijevanjem tekućeg metala, stakla ili drugog materijala u kalup.",kampo:P40170,kamka:C10008,kamka:P80140
kampo:P40173,ima korporativno tijelo ljevača,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je oblikovalo predmet lijevanjem tekućeg metala, stakla ili drugog materijala u kalup.",kampo:P40172,kamkt:C10009,kamkt:P90139
kampo:P40174,ima obitelj ljevača,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je oblikovala predmet lijevanjem tekućeg metala, stakla ili drugog materijala u kalup.",kampo:P40172,kamob:C10010,kamob:P10138
kampo:P40175,ima agenta modelera,kampo:C10004,Povezuje pjavni oblik s agentom koji je oblikovao predmet modeliranjem pripremljene smjese.,kampo:P40104,kama:C10006,kama:P60139
kampo:P40176,ima osobu modelera,kampo:C10004,Povezuje pjavni oblik s osobom koja je oblikovala predmet modeliranjem pripremljene smjese.,kampo:P40175,kamo:C10007,kamo:P70148
kampo:P40177,ima kolektivnog agenta modelera,kampo:C10004,Povezuje pjavni oblik s kolektivnim agentom koji je oblikovao predmet modeliranjem pripremljene smjese.,kampo:P40175,kamka:C10008,kamka:P80141
kampo:P40178,ima korporativno tijelo modelera,kampo:C10004,Povezuje pjavni oblik s korporativni tijelom koje je oblikovalo predmet modeliranjem pripremljene smjese.,kampo:P40177,kamkt:C10009,kamkt:P90140
kampo:P40179,ima obitelj modelera,kampo:C10004,Povezuje pjavni oblik s obitelji koja je oblikovala predmet modeliranjem pripremljene smjese.,kampo:P40177,kamob:C10010,kamob:P10139
kampo:P40180,ima agenta pisara,kampo:C10004,Povezuje pojavni oblik s agentom koji je ispisao ili prepisao tekst rukopisa.,kampo:P40104,kama:C10006,kama:P60140
kampo:P40181,ima osobu pisara,kampo:C10004,Povezuje pojavni oblik s osobom koja je ispisala ili prepisala tekst rukopisa.,kampo:P40180,kamo:C10007,kamo:P70149
kampo:P40182,ima kolektivnog agenta pisara,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je ispisao ili prepisao tekst rukopisa.,kampo:P40180,kamka:C10008,kamka:P80142
kampo:P40183,ima korporativno tijelo pisara,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je ispisalo ili prepisalo tekst rukopisa.,kampo:P40182,kamkt:C10009,kamkt:P90141
kampo:P40184,ima obitelj pisara,kampo:C10004,Povezuje pojavni oblik s obitelji koja je ispisala ili prepisala tekst rukopisa.,kampo:P40182,kamob:C10010,kamob:P10140
kampo:P40185,ima agenta pozlatara,kampo:C10004,"Povezuje pojavni oblik s agentom koji je nanio pozlatu na predmet od drva, metala, keramike, porculana, stakla, kože ili drugog materijala.",kampo:P40104,kama:C10006,kama:P60141
kampo:P40186,ima osobu pozlatara,kampo:C10004,"Povezuje pojavni oblik s osobom koja je nanijela pozlatu na predmet od drva, metala, keramike, porculana, stakla, kože ili drugog materijala.",kampo:P40185,kamo:C10007,kamo:P70150
kampo:P40187,ima kolektivnog agenta pozlatara,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je nanio pozlatu na predmet od drva, metala, keramike, porculana, stakla, kože ili drugog materijala.",kampo:P40185,kamka:C10008,kamka:P80143
kampo:P40188,ima korporativno tijelo pozlatara,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je nanijelo pozlatu na predmet od drva, metala, keramike, porculana, stakla, kože ili drugog materijala.",kampo:P40187,kamkt:C10009,kamkt:P90142
kampo:P40189,ima obitelj pozlatara,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je nanijela pozlatu na predmet od drva, metala, keramike, porculana, stakla, kože ili drugog materijala.",kampo:P40187,kamob:C10010,kamob:P10141
kampo:P40190,ima agenta rezbara,kampo:C10004,Povezuje pojavni oblik s agentom koji je oblikovao ili ukrasio predmet ili dio drvenog predmeta urezivanjem raznih oblika.,kampo:P40104,kama:C10006,kama:P60142
