CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamob:P10121,je tonski snimatelj,kamob:C10010,Povezuje obitelj koja snima zvučne sadržaje u studijskom prostoru ili na terenu ili sudjeluje u tonskoj realizaciji radijskoga ili televizijskog programa s izrazom tog djela.,kamob:P10099,kami:C10003,kami:P30228
kamob:P10124,je izrađivač,kamob:C10010,Povezuje obitelj koja je sudjelovala u procesu ručne ili manufakturne izrade pojavnog oblika ili njegovih dijelova s tim pojavnim oblikom.,kamob:P10012,kampo:C10004,kampo:P40104
kamob:P10125,je bojadisar,kamob:C10010,"Povezuje obitelj koja je obojila tekstil od kojega se sastoji odjevni, uporabni ili neki drugi predmet s tim pojavnim oblikom.",kamob:P10124,kampo:C10004,kampo:P40109
kamob:P10126,je bravar,kamob:C10010,"Povezuje obitelj koja je izradila metalne konstrukcijske ili ukrasne elemente na građevini ili dijelovima građevine, uključujući metalne ograde, namještaj, kvake itd. s tim pojavnim oblikom.",kamob:P10124,kampo:C10004,kampo:P40114
kamob:P10127,je brusač,kamob:C10010,Povezuje obitelj koja je obradila površinu dragog kamena s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40119
kamob:P10128,je cizeler,kamob:C10010,Povezuje obitelj koja je obradila metalni predmet tehnikom cizeliranja s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40124
kamob:P10129,je emajler,kamob:C10010,"Povezuje obitelj koja je nanijela emajl na površinu metalnog, keramičkog ili staklenog predmeta s tim pojavnim oblikom.",kamob:P10124,kampo:C10004,kampo:P40129
kamob:P10130,je intarzist,kamob:C10010,"Povezuje obitelj koja je ukrasila drveni predmet umecima od metala, drva, slonovače ili drugih materijala s tim pojavnim oblikom.",kamob:P10124,kampo:C10004,kampo:P40134
kamob:P10131,je kalupar,kamob:C10010,Povezuje obitelj koja je izradila kalup za oblikovanje keramike i stakla ili lijevanje rastaljenog metala i/ili izradio predmet iz kalupa s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40139
kamob:P10132,je keramičar,kamob:C10010,Povezuje obitelj koji je izradio predmet ili dio predmeta od keramike s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40144
kamob:P10133,je klesar,kamob:C10010,"Povezuje obitelj koja je ugradila, oblikovala i/ili ukrasila kameni predmet, uključujući dijelove arhitekonske plastike s tim pojavnim oblikom.",kamob:P10124,kampo:C10004,kampo:P40149
kamob:P10134,je kovač,kamob:C10010,Povezuje obitelj koja je iskovala uporabni predmet ili dio predmeta od željeza s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40154
kamob:P10135,je kovinopojasar,kamob:C10010,Povezuje obitelj koja je izradila metalni predmet ili dio predmeta tehnikom tiještenja s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40159
kamob:P10136,je krojač,kamob:C10010,Povezuje obitelj koja je izradila odjevni ili drugi predmet ili dio predmeta od tekstila s tim pojavnim oblikom.,kamob:P10124,kampo:C10004,kampo:P40164
kamob:P10137,je lakirer,kamob:C10010,"Povezuje obitelj koja je nanijela sloj laka na površinu namještaja ili drugog predmeta, uključujući izradu raznih motiva s tim pojavnim oblikom.",kamob:P10124,kampo:C10004,kampo:P40169
